symbol,date,close,rsi,bb_position,macd_hist,recommendation
AAPL,2026-06-23,294.3,47.1,INSIDE,-1.759,HOLD
MSFT,2026-06-23,373.94,35.34,INSIDE,-5.0943,HOLD
GOOGL,2026-06-23,346.13,37.41,INSIDE,-2.54,HOLD
AMZN,2026-06-23,234.11,37.83,INSIDE,-1.6605,HOLD
META,2026-06-23,562.2,39.11,INSIDE,-2.231,HOLD
NVDA,2026-06-23,200.04,42.56,INSIDE,-1.1063,HOLD
TSLA,2026-06-23,381.61,40.86,INSIDE,-2.7007,HOLD
INTC,2026-06-23,102.5,71.21,INSIDE,-1.0291,HOLD
AMD,2026-06-23,481.78,63.5,INSIDE,-5.0889,HOLD
IBM,2026-06-23,264.94,50.4,INSIDE,-4.6889,HOLD
ORCL,2026-06-23,165.16,35.18,INSIDE,-5.8665,HOLD
NFLX,2026-06-23,72.82,21.35,BELOW,-0.7019,BUY
PLTR,2026-06-23,116.7,32.77,INSIDE,-2.0113,HOLD
SNOW,2026-06-23,230.41,57.47,INSIDE,-4.3264,HOLD
SHOP,2026-06-23,107.68,45.84,INSIDE,-0.2298,HOLD
COIN,2026-06-23,158.18,40.51,INSIDE,0.5683,HOLD
ROKU,2026-06-23,135.05,57.8,INSIDE,0.5993,HOLD
U,2026-06-23,27.61,50.0,INSIDE,-0.2632,HOLD
CRWD,2026-06-23,680.92,57.63,INSIDE,-9.3833,HOLD
ZS,2026-06-23,126.17,42.0,INSIDE,-0.7453,HOLD
RIVN,2026-06-23,14.89,44.61,INSIDE,-0.1584,HOLD
LCID,2026-06-23,5.19,41.27,INSIDE,0.0398,HOLD
BTC-USD,2026-06-23,62668.02,37.29,INSIDE,389.0984,HOLD
