,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0,0.508532423208191,2025-12-18 11:14:26.852238,2025-12-18 11:14:27.177819,0 days 00:00:00.325581,0.6825655418752467,1.985433902298196,0.022702072836056582,3,457,0.7313311269432499,COMPLETE
1,1,0.5017064846416383,2025-12-18 11:14:27.178047,2025-12-18 11:14:27.397680,0 days 00:00:00.219633,0.5061215418053564,4.1557113795610165,0.12310101210796262,4,358,0.6046382025149302,COMPLETE
2,2,0.5176336746302617,2025-12-18 11:14:27.397916,2025-12-18 11:14:27.557502,0 days 00:00:00.159586,0.5205145318018891,3.9181012558447166,0.2526646165273045,7,144,0.7181870727247096,COMPLETE
3,3,0.5051194539249146,2025-12-18 11:14:27.557766,2025-12-18 11:14:27.740255,0 days 00:00:00.182489,0.9380472192437947,0.3629173631120747,0.09021914476490449,5,70,0.923195708151187,COMPLETE
4,4,0.5073947667804323,2025-12-18 11:14:27.740493,2025-12-18 11:14:27.987171,0 days 00:00:00.246678,0.7610506308366036,0.49253694502689516,0.29954130590012806,9,318,0.9070802905893262,COMPLETE
5,5,0.515358361774744,2025-12-18 11:14:27.987425,2025-12-18 11:14:28.120737,0 days 00:00:00.133312,0.923293150247583,4.660130543788405,0.17859747668386677,7,62,0.9688810484286817,COMPLETE
6,6,0.5108077360637088,2025-12-18 11:14:28.120959,2025-12-18 11:14:28.369651,0 days 00:00:00.248692,0.5677106250619466,0.5585562517392578,0.09325559439495856,4,227,0.6562587504557713,COMPLETE
7,7,0.4948805460750853,2025-12-18 11:14:28.370016,2025-12-18 11:14:28.560312,0 days 00:00:00.190296,0.7502047132536662,4.995556810383991,0.08999206546674038,6,253,0.6903270716490992,COMPLETE
8,8,0.5187713310580205,2025-12-18 11:14:28.560535,2025-12-18 11:14:28.781235,0 days 00:00:00.220700,0.6351535180428025,2.0769318849147513,0.033212988811576374,7,159,0.5296553433978043,COMPLETE
9,9,0.502844141069397,2025-12-18 11:14:28.781477,2025-12-18 11:14:28.963044,0 days 00:00:00.181567,0.9289525770074496,1.8375630429372025,0.166466255837186,8,153,0.7955003610581346,COMPLETE
10,10,0.515358361774744,2025-12-18 11:14:28.963237,2025-12-18 11:14:29.270029,0 days 00:00:00.306792,0.6426691592699777,2.971180562264308,0.02281816630850585,10,402,0.5077252507336483,COMPLETE
11,11,0.5039817974971559,2025-12-18 11:14:29.270288,2025-12-18 11:14:29.448194,0 days 00:00:00.177906,0.5915154487519694,3.301026380344988,0.2537457423101026,7,173,0.5219002833469144,COMPLETE
12,12,0.49488054607508536,2025-12-18 11:14:29.448364,2025-12-18 11:14:29.616494,0 days 00:00:00.168130,0.5012129853314291,3.6806401483749447,0.21960310963143537,8,158,0.8075309330457167,COMPLETE
13,13,0.5073947667804323,2025-12-18 11:14:29.616706,2025-12-18 11:14:29.788616,0 days 00:00:00.171910,0.6759824158546565,2.3616554073824236,0.21803741177811647,6,115,0.6064879821310063,COMPLETE
14,14,0.515358361774744,2025-12-18 11:14:29.788848,2025-12-18 11:14:30.000990,0 days 00:00:00.212142,0.5818338278760333,1.6742695052996126,0.29397650338064907,8,220,0.5862519348521169,COMPLETE
15,15,0.4960182025028441,2025-12-18 11:14:30.001157,2025-12-18 11:14:30.236272,0 days 00:00:00.235115,0.6195844067294579,1.3856376736778997,0.22370534849235785,10,296,0.8149622442147113,COMPLETE
16,16,0.50967007963595,2025-12-18 11:14:30.236457,2025-12-18 11:14:30.411134,0 days 00:00:00.174677,0.831648979071276,2.711927452047518,0.05283048974070999,5,104,0.7215955330503363,COMPLETE
17,17,0.48805460750853236,2025-12-18 11:14:30.411360,2025-12-18 11:14:30.598224,0 days 00:00:00.186864,0.5538142475026546,3.9832669748422744,0.12442713291648347,7,204,0.5498267950352653,COMPLETE
18,18,0.5073947667804323,2025-12-18 11:14:30.598428,2025-12-18 11:14:30.788475,0 days 00:00:00.190047,0.7017999996866635,1.277035504852424,0.254565174618163,9,113,0.652738785849497,COMPLETE
19,19,0.5039817974971559,2025-12-18 11:14:30.788714,2025-12-18 11:14:30.995871,0 days 00:00:00.207157,0.792199375961481,3.2467771817714257,0.1308449201068045,6,270,0.7728190439894773,COMPLETE
