symbol,date,close,rsi,bb_position,macd_hist,recommendation,confidence,target_price
AAPL,2025-12-09,277.18,56.45,INSIDE,-0.4817,HOLD,,
TSLA,2025-12-09,445.17,55.79,INSIDE,3.8198,HOLD,,
MSFT,2025-12-09,492.02,48.79,INSIDE,1.456,HOLD,,
BTC-USD,2025-12-10,92020.95,48.38,INSIDE,888.3045,HOLD,,
GOOGL,2025-12-09,317.08,64.38,INSIDE,-0.6515,HOLD,,
AAPL,2025-12-09,277.18,56.45,INSIDE,-0.4817,HOLD,,
TSLA,2025-12-09,445.17,55.79,INSIDE,3.8198,HOLD,,
MSFT,2025-12-09,492.02,48.79,INSIDE,1.456,HOLD,,
BTC-USD,2025-12-09,92691.71,49.82,INSIDE,884.9958,HOLD,,
GOOGL,2025-12-09,317.08,64.38,INSIDE,-0.6515,HOLD,,
AAPL,2025-12-09,277.18,56.45,INSIDE,-0.4817,HOLD,,
TSLA,2025-12-09,445.17,55.79,INSIDE,3.8198,HOLD,,
MSFT,2025-12-09,492.02,48.79,INSIDE,1.456,HOLD,,
BTC-USD,2025-12-09,92691.71,49.82,INSIDE,884.9958,HOLD,,
GOOGL,2025-12-09,317.08,64.38,INSIDE,-0.6515,HOLD,,
AAPL,2025-12-09,277.18,56.45,INSIDE,-0.4817,HOLD,,
TSLA,2025-12-09,445.17,55.79,INSIDE,3.8198,HOLD,,
MSFT,2025-12-09,492.02,48.79,INSIDE,1.456,HOLD,,
BTC-USD,2025-12-09,92691.71,49.82,INSIDE,884.9958,HOLD,,
GOOGL,2025-12-09,317.08,64.38,INSIDE,-0.6515,HOLD,,
AAPL,2025-12-10,278.78,58.82,INSIDE,-0.5837,HOLD,,
TSLA,2025-12-10,451.45,58.05,INSIDE,3.7518,HOLD,,
MSFT,2025-12-10,478.56,40.8,INSIDE,0.934,HOLD,,
BTC-USD,2025-12-10,92020.95,48.38,INSIDE,888.3045,HOLD,,
GOOGL,2025-12-10,320.21,66.1,INSIDE,-0.7684,HOLD,,
AAPL,2025-12-11,278.03,57.25,INSIDE,-0.7056,HOLD,,
TSLA,2025-12-11,446.89,55.82,INSIDE,3.2068,HOLD,,
MSFT,2025-12-11,483.47,44.38,INSIDE,0.9349,HOLD,,
BTC-USD,2025-12-11,92511.34,49.53,INSIDE,897.1856,HOLD,,
GOOGL,2025-12-11,312.43,58.51,INSIDE,-1.4147,HOLD,,
AAPL,2025-12-11,278.03,57.25,INSIDE,-0.7056,HOLD,,
TSLA,2025-12-11,446.89,55.82,INSIDE,3.2068,HOLD,,
MSFT,2025-12-11,483.47,44.38,INSIDE,0.9349,HOLD,,
BTC-USD,2025-12-11,92511.34,49.53,INSIDE,897.1856,HOLD,,
GOOGL,2025-12-11,312.43,58.51,INSIDE,-1.4147,HOLD,,
AAPL,2025-12-11,278.03,57.25,INSIDE,-0.7056,HOLD,,
TSLA,2025-12-11,446.89,55.82,INSIDE,3.2068,HOLD,,
MSFT,2025-12-11,483.47,44.38,INSIDE,0.9349,HOLD,,
BTC-USD,2025-12-11,92511.34,49.53,INSIDE,897.1856,HOLD,,
GOOGL,2025-12-11,312.43,58.51,INSIDE,-1.4147,HOLD,,
AAPL,2025-12-11,278.03,57.25,INSIDE,-0.7056,HOLD,,
MSFT,2025-12-11,483.47,44.38,INSIDE,0.9349,HOLD,,
GOOGL,2025-12-11,312.43,58.51,INSIDE,-1.4147,HOLD,,
AMZN,2025-12-11,230.28,49.57,INSIDE,-0.1139,HOLD,,
META,2025-12-11,652.71,51.47,INSIDE,6.3683,HOLD,,
NVDA,2025-12-11,180.93,45.76,INSIDE,0.3193,HOLD,,
TSLA,2025-12-11,446.89,55.82,INSIDE,3.2068,HOLD,,
INTC,2025-12-11,39.51,53.04,INSIDE,0.1182,HOLD,,
AMD,2025-12-11,221.43,48.75,INSIDE,0.3474,HOLD,,
IBM,2025-12-11,310.74,58.85,INSIDE,0.4068,HOLD,,
ORCL,2025-12-11,198.85,34.75,INSIDE,2.9982,HOLD,,
NFLX,2025-12-11,94.09,29.6,INSIDE,-1.2232,HOLD,,
PLTR,2025-12-11,187.54,61.09,INSIDE,2.7108,HOLD,,
SNOW,2025-12-11,220.51,35.12,INSIDE,-3.8943,HOLD,,
SHOP,2025-12-11,164.75,56.72,INSIDE,1.5443,HOLD,,
COIN,2025-12-11,269.02,44.09,INSIDE,3.836,HOLD,,
ROKU,2025-12-11,106.3,63.02,INSIDE,1.3256,HOLD,,
U,2025-12-11,49.23,70.87,INSIDE,0.7672,HOLD,,
CRWD,2025-12-11,517.65,50.61,INSIDE,0.265,HOLD,,
ZS,2025-12-11,242.08,28.07,INSIDE,-1.1954,HOLD,,
RIVN,2025-12-11,16.43,51.99,INSIDE,-0.02,HOLD,,
LCID,2025-12-11,12.83,39.05,INSIDE,0.2121,HOLD,,
BTC-USD,2025-12-11,92511.34,49.53,INSIDE,897.1856,HOLD,,
AAPL,2025-12-11,278.03,57.25,INSIDE,-0.7056,HOLD,,
MSFT,2025-12-11,483.47,44.38,INSIDE,0.9349,HOLD,,
GOOGL,2025-12-11,312.43,58.51,INSIDE,-1.4147,HOLD,,
AMZN,2025-12-11,230.28,49.57,INSIDE,-0.1139,HOLD,,
META,2025-12-11,652.71,51.47,INSIDE,6.3683,HOLD,,
NVDA,2025-12-11,180.93,45.76,INSIDE,0.3193,HOLD,,
TSLA,2025-12-11,446.89,55.82,INSIDE,3.2068,HOLD,,
INTC,2025-12-11,39.51,52.94,INSIDE,0.1134,HOLD,,
AMD,2025-12-11,221.43,48.75,INSIDE,0.3474,HOLD,,
IBM,2025-12-11,310.74,58.85,INSIDE,0.4068,HOLD,,
ORCL,2025-12-11,198.85,34.75,INSIDE,2.9982,HOLD,,
NFLX,2025-12-11,94.09,29.6,INSIDE,-1.2232,HOLD,,
